X;m5intra;m5rponly;m5eponly;m5inter;mIinter
ack;8997.0;8957.0;8745.0;8337.0;8337.0
all;827373.0;873533.0;1063177.0;1091437.0;1097449.0
array1;9997.0;10065.0;9189.0;8853.0;8853.0
boyer;18333.0;20137.0;22489.0;23465.0;23965.0
browse;25249.0;26177.0;30961.0;32365.0;31589.0
compiler;481801.0;504873.0;577493.0;591981.0;592705.0
conform;44141.0;46241.0;43953.0;45069.0;45261.0
cpstak;10469.0;10509.0;11857.0;11609.0;11609.0
dderiv;11289.0;11441.0;11001.0;10749.0;10749.0
deriv;9833.0;10101.0;9485.0;9337.0;9337.0
destruc;13321.0;13453.0;15093.0;13945.0;13945.0
diviter;9741.0;9777.0;10321.0;9941.0;9941.0
divrec;9545.0;9657.0;9505.0;9197.0;9197.0
earley;46157.0;47389.0;86249.0;77097.0;77097.0
fib;9089.0;8985.0;8629.0;8245.0;8245.0
fibfp;9985.0;9517.0;10085.0;8761.0;8761.0
graphs;32137.0;32389.0;49477.0;52997.0;52997.0
lattice;24609.0;25629.0;30505.0;29201.0;29185.0
mazefun;29849.0;31917.0;32533.0;33893.0;39713.0
mbrot;12613.0;12701.0;10461.0;10477.0;10477.0
nboyer;30037.0;33745.0;39525.0;43093.0;43517.0
nqueens;11081.0;11073.0;15125.0;15105.0;13049.0
paraffins;22769.0;25413.0;56893.0;75545.0;75545.0
perm9;17945.0;18117.0;19857.0;17217.0;17217.0
peval;58737.0;65181.0;72373.0;69765.0;69749.0
pnpoly;13965.0;13965.0;12029.0;11961.0;11961.0
primes;9741.0;9985.0;9769.0;9517.0;9517.0
sboyer;29561.0;32981.0;39025.0;42361.0;42785.0
simplex;36061.0;36269.0;30097.0;29917.0;29917.0
sum;8725.0;8765.0;8337.0;8093.0;8093.0
sumfp;9197.0;9313.0;8885.0;8577.0;8577.0
sumloop;8829.0;8865.0;8449.0;8417.0;8417.0
tak;9341.0;9373.0;9869.0;8697.0;8697.0
takl;11029.0;11165.0;14357.0;13901.0;13901.0
triangl;13817.0;13997.0;13333.0;13357.0;13357.0
