benchmark;m5intra;m5rponly;m5eponly;m5inter;mIinter
ack;0.010833249999999996;0.009582750000000004;0.01249975;0.011666750000000007;0.012500250000000003
all;2.790833125000001;3.038336249999998;4.380829000000002;4.621661;4.657499749999985
array1;0.010416625000000006;0.012916625000000008;0.015833375000000014;0.0154165;0.016249750000000007
boyer;0.03875049999999999;0.04208324999999999;0.059167125;0.06208349999999999;0.063332375
browse;0.063333375;0.06666675000000001;0.09916549999999999;0.10958274999999999;0.10166662499999998
compiler;1.5545835000000008;1.6979155000000004;2.1887499999999993;2.351664875000001;2.354166
conform;0.10750062499999999;0.11958262499999997;0.13083250000000002;0.13291675;0.131666875
cpstak;0.014999624999999999;0.012916499999999971;0.025833374999999947;0.025832875000000033;0.02458350000000003
dderiv;0.015833250000000087;0.015833749999999876;0.019583374999999972;0.019583250000000014;0.018332750000000005
deriv;0.012083124999999983;0.011666874999999974;0.013750624999999956;0.013749500000000053;0.013749500000000027
destruc;0.02583275;0.027083624999999997;0.03999974999999999;0.03666637500000001;0.037082749999999956
diviter;0.012500125000000027;0.015416500000000059;0.01708325000000003;0.015833374999999986;0.016666375000000018
divrec;0.012916749999999958;0.011666499999999988;0.014583750000000024;0.01416649999999995;0.01458274999999996
earley;0.16125012499999997;0.1658335;0.3724997499999999;0.32875012499999995;0.3370823749999999
fib;0.011250125;0.014166499999999988;0.013333250000000001;0.011666375000000001;0.011666750000000017
fibfp;0.014583000000000016;0.013749874999999988;0.018332875000000016;0.015416375000000006;0.016250000000000004
graphs;0.092499875;0.0941665;0.22125;0.238332625;0.237083125
lattice;0.0566665;0.06166587499999992;0.088333;0.08541662500000002;0.08791749999999997
mazefun;0.07291675;0.082082875;0.09375025000000001;0.09583375;0.12166675
mbrot;0.020000250000000077;0.021250124999999967;0.022499874999999954;0.022916874999999993;0.021666625000000113
nboyer;0.08875037499999996;0.10083312500000002;0.16166537499999997;0.17208387500000003;0.17958312499999998
nqueens;0.01749987500000002;0.018749625000000013;0.035416124999999965;0.03791725;0.031249499999999993
paraffins;0.05666675;0.06624925;0.20791587499999997;0.2866663749999999;0.284166625
perm9;0.043749125;0.04416637499999999;0.06416700000000003;0.05416675;0.053332624999999995
peval;0.15874949999999996;0.17583274999999995;0.22749900000000003;0.217500125;0.21833375000000005
pnpoly;0.02499975000000003;0.02500025000000002;0.027082874999999992;0.02625012499999999;0.026249750000000002
primes;0.013333124999999979;0.013333249999999965;0.016250124999999997;0.014999875000000027;0.014166875000000028
sboyer;0.08458350000000002;0.10291637500000002;0.1679165;0.17541574999999995;0.175833
simplex;0.10541637500000002;0.10708237500000004;0.10583237499999998;0.10583337500000001;0.10458287499999998
sum;0.010416375000000012;0.008749750000000002;0.011250000000000007;0.010833374999999989;0.012499624999999995
sumfp;0.011249500000000051;0.01208337499999997;0.015416250000000018;0.01625049999999998;0.01583325
sumloop;0.008749999999999983;0.01166662499999995;0.01208337500000001;0.01166662499999998;0.011250124999999984
tak;0.010832874999999985;0.012499624999999995;0.018750000000000003;0.011667000000000007;0.014999749999999987
takl;0.014166875000000002;0.016666874999999987;0.030416500000000006;0.02999950000000001;0.030415750000000002
triangl;0.021249624999999984;0.024167;0.02416637499999999;0.027915874999999944;0.02458312500000001
