X;m5intra;m5rponly;m5eponly;m5inter;mIinter
ack;167526607.0;111765797.0;55801457.0;22.0;22.0
all;9892160848.0;9469363820.0;6458068780.0;5906137445.0;5835503856.0
array1;90000645.0;90000645.0;307.0;102.0;102.0
boyer;263178540.0;261793312.0;261699063.0;260295509.0;260286809.0
browse;398457246.0;398094093.0;331449294.0;315346114.0;306346114.0
compiler;169861398.0;168549307.0;136441058.0;129276499.0;127065499.0
conform;170287076.0;167158246.0;152712220.0;148398479.0;148398479.0
cpstak;159625677.0;159625677.0;15007.0;15002.0;15002.0
dderiv;223333785.0;207333785.0;190000449.0;174000447.0;174000447.0
deriv;107333763.0;107333763.0;82000427.0;82000425.0;82000425.0
destruc;338486833.0;336989833.0;248318997.0;243692495.0;243692495.0
diviter;301667444.0;301667444.0;301000707.0;301000705.0;301000705.0
divrec;301667444.0;301667444.0;301000707.0;301000705.0;301000705.0
earley;124146943.0;124128343.0;64250807.0;58984602.0;58984602.0
fib;149303518.0;74651768.0;74651762.0;7.0;7.0
fibfp;119442817.0;59721417.0;59721412.0;6.0;6.0
graphs;218484501.0;181462101.0;115264200.0;67915493.0;67915493.0
lattice;700207937.0;542270303.0;683520957.0;507553608.0;507553608.0
mazefun;194086601.0;193936601.0;145257931.0;137680929.0;134075929.0
mbrot;159902577.0;159902577.0;2812707.0;2812706.0;2812706.0
nboyer;213473679.0;213472878.0;205311475.0;205213267.0;205174667.0
nqueens;273619343.0;258491343.0;182276007.0;201082006.0;159076002.0
paraffins;189626677.0;189625677.0;102471007.0;102433002.0;102433002.0
perm9;57434988.0;57434981.0;30977547.0;30614638.0;30614638.0
peval;160803985.0;160456985.0;131407034.0;128002627.0;128002627.0
pnpoly;320266673.0;320266673.0;188800004.0;188800003.0;188800003.0
primes;182066852.0;182066852.0;133400182.0;128300180.0;128300180.0
sboyer;213473679.0;213472878.0;205311475.0;205213267.0;205174667.0
simplex;219566749.0;219566749.0;138700059.0;138700057.0;138700057.0
sum;133373343.0;133373343.0;20007.0;20002.0;20002.0
sumfp;266733345.0;266733345.0;40008.0;40002.0;40002.0
sumloop;2000000037.0;2000000037.0;1000000017.0;1000000016.0;1000000016.0
tak;286241343.0;286241343.0;77362007.0;6002.0;6002.0
takl;528007180.0;528007180.0;502632356.0;490399554.0;490399554.0
triangl;490471692.0;490463939.0;343621104.0;343613348.0;343613348.0
