benchmark;m5intra;m5rponly;m5eponly;m5inter;mIinter
ack;217.63809899999998;210.35062399999998;174.15534087499998;166.052365625;165.906602875
all;40895.657464625;41019.595686625;37826.82502725;37935.053795499996;38018.044984249995
array1;355.6010265;355.575456;347.06324525;349.33204712500003;349.49761925
boyer;339.440304125;360.85984487499996;352.863659625;354.52905375;355.770211875
browse;1293.6641015;1324.079629625;1252.4135582499998;1251.9377931249999;1222.9479394999998
compiler;2782.148879;2967.8338236249997;3409.24042975;3666.113270875;3668.1860260000003
conform;579.657564125;599.009885625;581.5646852499999;575.232655375;573.9804412499999
cpstak;1989.8083392499998;1985.8862392499998;1781.2938763750003;1778.2539765000001;1782.2132935000002
dderiv;2069.55970025;2070.50513425;1946.123610375;1900.321290125;1899.296457875
deriv;1935.277092;1952.8489902500003;1816.05912175;1780.8916515;1779.1480931249998
destruc;782.8863615;750.792213125;720.5927488750001;680.140203625;680.8076300000001
diviter;1998.8390073750002;1993.854246;1773.78741025;1887.2853247499997;1892.628438625
divrec;2094.3601852499996;2089.050492;1993.2590281250002;1956.2257917499999;1952.51704225
earley;815.782050875;822.820545875;1009.22447025;973.9851132499999;975.091197125
fib;287.65319750000003;265.00847200000004;233.13768650000003;210.51324537500003;210.56470662499999
fibfp;885.38700875;509.50259324999996;492.6180515;131.91456825;131.687269375
graphs;1131.6603083749999;1115.1302105;1180.487013875;1162.7921962500002;1160.82873075
lattice;1118.3025956249999;983.66355775;1104.8511168750001;966.3194972499999;965.1844623750001
mazefun;684.714059125;704.26133275;659.580858875;671.5965687500001;729.0006232500001
mbrot;3533.8450721249997;3608.2641643750003;2761.5486071249998;2731.599501125;2745.5248285
nboyer;790.1598055000001;808.576888125;773.479108625;787.0958097500001;789.283719625
nqueens;749.120816125;752.264517875;699.9223465;722.6608001249999;665.198028875
paraffins;1528.622717;1527.7040211249998;1618.087410375;1710.94681925;1709.880782375
perm9;401.1991882500001;425.802625875;415.51016224999995;401.176041125;400.21242524999997
peval;934.17133875;975.6631557499999;973.911492375;982.4714976250001;987.282171875
pnpoly;702.218982375;703.1123727500001;272.60032212500005;274.35282099999995;273.75610824999995
primes;1691.236707375;1754.202669;1620.8978372499998;1630.281771625;1627.614531
sboyer;509.6817691250001;515.0857715;532.221801;543.3279970000001;544.637161125
simplex;600.474249625;602.373048125;482.317082;486.864619;484.72564025
sum;312.064724375;312.241833875;210.9533375;211.02830937499996;211.14553562499998
sumfp;1983.8659095;1978.2519379999999;482.87253224999995;479.30007637500006;479.068533
sumloop;1767.891837;1767.645951375;1641.542228875;1656.7733753750001;1660.0051295
tak;330.34121775;328.66037362500003;246.54752025;222.68008799999998;223.1570725
takl;391.15882075;390.142975375;391.30644412500004;380.1823;379.70117637500005
triangl;612.34137375;598.9793202500001;561.9213605;545.344230625;535.352940125
