benchmark;m5intra;m5rponly;m5eponly;m5inter;mIinter
ack;0.21791674999999996;0.210416625;0.17374999999999996;0.16666662499999998;0.166666625
all;38.50207975;38.3699965;35.52499675;35.199163000000006;35.252496375
array1;0.3550002499999999;0.353333125;0.32333312499999994;0.323749625;0.32541637500000004
boyer;0.354166625;0.36666624999999997;0.36208324999999997;0.35458325;0.35833299999999996
browse;1.3424998750000001;1.3083333750000001;1.3174998750000002;1.2845831250000002;1.297916375
compiler;2.7320828749999997;2.959166625;3.421666;3.630833125;3.638749625
conform;0.5858335;0.6095831250000001;0.574166875;0.582500125;0.5833330000000001
cpstak;1.8245832499999999;1.8262498749999998;1.66958325;1.68083325;1.6808331250000001
dderiv;2.0291665;1.944583;1.8475;1.9454164999999999;1.9458333749999999
deriv;2.00249975;2.0124999999999997;1.8612497500000003;1.8299997500000003;1.8275000000000001
destruc;0.788749625;0.768333;0.6970829999999999;0.69625;0.69791675
diviter;1.92624975;1.9237496249999997;1.8633333749999998;1.809166625;1.8087499999999999
divrec;2.173749875;2.19333325;1.9012498750000002;2.0366665;2.037083125
earley;0.8370833750000001;0.830832875;1.016666875;0.9829166249999999;0.9824997499999999
fib;0.30999987500000004;0.28625;0.23875;0.22874999999999998;0.22916662499999998
fibfp;0.9370828749999999;0.53874975;0.50666675;0.12916662499999998;0.12916662499999998
graphs;1.133333125;1.1174996250000002;1.1858331250000003;1.1824993750000004;1.1841666249999998
lattice;1.127083125;1.0062496250000001;1.103333375;0.9704166249999999;0.9654165
mazefun;0.7074999999999999;0.714583;0.66666625;0.67833325;0.715833
mbrot;1.0275001249999998;1.009583125;0.233333375;0.218333375;0.21916675
nboyer;0.7341663749999998;0.778749625;0.7654163749999999;0.790833;0.77125
nqueens;0.76541625;0.778749875;0.681250375;0.695833125;0.6779163750000001
paraffins;1.5479162499999999;1.5379167500000002;1.6241664999999998;1.7254163750000002;1.719166375
perm9;0.42624975;0.41125;0.42333325;0.50541675;0.50375
peval;0.9362498750000001;0.9899998750000001;0.9808331249999999;1.0029166250000001;0.9987501250000002
pnpoly;0.722499875;0.723333;0.277500125;0.27333325;0.27208312500000004
primes;1.77;1.7916667499999999;1.68874975;1.683750125;1.683333
sboyer;0.5025000000000001;0.514166625;0.51083325;0.5295834999999999;0.5308331249999999
simplex;0.6116664999999999;0.614999875;0.49541650000000004;0.4924995;0.49458325000000003
sum;0.349166625;0.31250000000000006;0.20666625;0.20583324999999997;0.20624987499999997
sumfp;2.09749975;2.1016667499999997;0.47916675;0.479583375;0.48
sumloop;1.7683333749999997;1.770416625;1.636666875;1.6404166250000003;1.6412498750000002
tak;0.34333299999999994;0.34291687499999995;0.25666674999999994;0.21625;0.21666687499999998
takl;0.39666662499999994;0.39666662499999994;0.38875012500000006;0.3845835;0.383333625
triangl;0.614166625;0.6216665;0.55500025;0.547083375;0.548333375
