X;m5intra;m5rponly;m5eponly;m5inter;mIinter
ack;14717.0;14741.0;14085.0;13965.0;13965.0
all;832189.0;878057.0;1067553.0;1095945.0;1102217.0
array1;15717.0;15849.0;14521.0;14477.0;14477.0
boyer;24053.0;25921.0;27825.0;29157.0;29657.0
browse;31089.0;32081.0;36293.0;37769.0;36993.0
compiler;486565.0;509605.0;582185.0;596693.0;597417.0
conform;48925.0;51005.0;48661.0;49761.0;49953.0
cpstak;16189.0;16293.0;17193.0;17237.0;17237.0
dderiv;16649.0;16969.0;16029.0;15997.0;15997.0
deriv;15193.0;15629.0;14513.0;14585.0;14585.0
destruc;19041.0;19237.0;20433.0;19405.0;19405.0
diviter;15461.0;15561.0;15653.0;15397.0;15397.0
divrec;15265.0;15441.0;14837.0;14653.0;14653.0
earley;51517.0;52917.0;91281.0;82513.0;82513.0
fib;14809.0;14769.0;13961.0;13869.0;13869.0
fibfp;15705.0;15285.0;15417.0;14481.0;14481.0
graphs;37857.0;38173.0;54817.0;58397.0;58397.0
lattice;29969.0;30981.0;35605.0;34445.0;34429.0
mazefun;35209.0;37269.0;37565.0;38973.0;44793.0
mbrot;18385.0;18277.0;15805.0;15633.0;15633.0
nboyer;34725.0;38573.0;43009.0;46753.0;47177.0
nqueens;16801.0;16857.0;20457.0;20513.0;18669.0
paraffins;28489.0;31197.0;62225.0;81169.0;81169.0
perm9;23853.0;24093.0;25245.0;22685.0;22685.0
peval;64097.0;70533.0;77405.0;74693.0;74677.0
pnpoly;19805.0;19869.0;17365.0;17373.0;17373.0
primes;15461.0;15769.0;15101.0;14977.0;14977.0
sboyer;34249.0;37809.0;42509.0;46021.0;46445.0
simplex;41781.0;42053.0;35433.0;35373.0;35373.0
sum;14445.0;14549.0;13669.0;13717.0;13717.0
sumfp;14917.0;15081.0;14217.0;14297.0;14297.0
sumloop;14549.0;14649.0;13781.0;13825.0;13825.0
tak;15061.0;15157.0;15209.0;14325.0;14325.0
takl;16749.0;16949.0;19697.0;19361.0;19361.0
triangl;19537.0;19781.0;18669.0;18769.0;18769.0
