benchmark;m5intra;m5rponly;m5eponly;m5inter;mIinter
ack;0.02125025;0.020416375000000007;0.024583249999999997;0.02291699999999999;0.021666874999999995
all;2.8091668749999994;3.0299994999999957;4.400415500000007;4.655832124999998;4.657083499999999
array1;0.024166750000000015;0.022500124999999996;0.02458262500000001;0.026666875000000013;0.025833250000000012
boyer;0.049999874999999985;0.051666624999999994;0.06833199999999999;0.07166700000000002;0.071667125
browse;0.07249987500000003;0.07833337499999998;0.11374962500000001;0.11583387499999999;0.11375075
compiler;1.5733331250000002;1.7070836250000003;2.2020830000000005;2.3674987499999998;2.3658322500000004
conform;0.11874975000000003;0.125000625;0.14041662500000002;0.141250625;0.14166687499999997
cpstak;0.025416749999999905;0.02333312500000001;0.03750037500000001;0.03666649999999992;0.03541662499999999
dderiv;0.02583324999999995;0.025416624999999894;0.029166500000000026;0.02875037499999994;0.029583000000000075
deriv;0.02208324999999994;0.021666125000000112;0.023333374999999993;0.023750125000000066;0.022083874999999975
destruc;0.03500012500000001;0.03750024999999998;0.052499625;0.04708337499999999;0.04916675000000002
diviter;0.023333499999999986;0.021249249999999956;0.028332625000000056;0.027083124999999965;0.02624975
divrec;0.02291725;0.02333300000000008;0.026249749999999933;0.025416874999999922;0.023749749999999993
earley;0.171666625;0.178333;0.384999375;0.34874912500000016;0.34833262499999995
fib;0.022083250000000013;0.021249250000000015;0.025416749999999978;0.022499625;0.02499987500000002
fibfp;0.02375025000000002;0.02250024999999997;0.028750000000000036;0.026249749999999995;0.026666749999999996
graphs;0.10083312500000004;0.10625;0.2316658749999999;0.251667;0.250833
lattice;0.06624975000000002;0.07041637499999989;0.09875012500000001;0.09499987499999998;0.09750037500000004
mazefun;0.08749962499999997;0.09541662499999998;0.10166600000000002;0.11333362499999998;0.136250125
mbrot;0.032083374999999956;0.031250000000000035;0.03166675000000001;0.03250012500000001;0.030416250000000013
nboyer;0.09208399999999996;0.10541687500000002;0.157917;0.17083312499999995;0.16916612499999997
nqueens;0.027916499999999997;0.02791737499999998;0.04500050000000004;0.047083375;0.04208325
paraffins;0.06958287499999988;0.07416624999999998;0.22500025000000004;0.30166612499999995;0.30083275000000004
perm9;0.05333287499999999;0.054582875000000024;0.06375037500000001;0.060416125000000015;0.05916687499999997
peval;0.16583275000000003;0.18541699999999994;0.240416875;0.23083275000000003;0.23083362500000004
pnpoly;0.03666649999999993;0.03500024999999998;0.03750000000000002;0.03833287499999999;0.036667000000000005
primes;0.02249987499999992;0.022916749999999986;0.02708237499999994;0.025416374999999984;0.022916500000000013
sboyer;0.09083300000000005;0.10250000000000005;0.16000024999999996;0.174166375;0.172499875
simplex;0.11583337500000002;0.11416625000000001;0.12083337499999997;0.11583325;0.11666700000000005
sum;0.019999250000000007;0.01958337499999999;0.022916500000000006;0.024166499999999994;0.022499749999999978
sumfp;0.022083499999999992;0.022499999999999944;0.02750037500000001;0.026667000000000003;0.02708350000000001
sumloop;0.018333125000000013;0.019999750000000014;0.02333337499999994;0.02291637500000003;0.02333362499999999
tak;0.023333;0.02291700000000002;0.02875000000000002;0.024583374999999987;0.025000125000000005
takl;0.026249750000000002;0.025416750000000016;0.04124987499999999;0.04208287500000001;0.039166375
triangl;0.03333312500000002;0.03166650000000001;0.034999874999999965;0.03333299999999994;0.03249974999999994
