benchmark;m5intra;m5eponly;m5rponly;m5inter;GambitS;GambitNS
ack;213.5412096977234;168.02704334259033;205.95505833625793;160.0496470928192;228.75;150.0
all;14662.239402532578;12953.447133302689;14550.19760131836;12856.713056564331;17553.375;11467.625
array1;169.60254311561584;136.36645674705505;168.16407442092896;136.62761449813843;188.75;76.5
boyer;220.20921111106873;215.60269594192505;230.4319143295288;206.54630661010742;233.5;158.5
browse;442.2650933265686;437.78786063194275;444.9533522129059;441.6629672050476;906.25;669.0
compiler;481.52607679367065;465.47800302505493;523.2680141925812;495.6679344177246;479.625;350.0
conform;286.0702872276306;246.7535436153412;293.0871844291687;252.16373801231384;283.125;226.875
cpstak;257.20831751823425;194.53412294387817;256.2081515789032;200.3476917743683;279.375;219.25
dderiv;380.3315758705139;343.2484567165375;365.1983141899109;331.407755613327;337.625;292.875
deriv;272.82747626304626;268.3865427970886;273.47081899642944;270.09010314941406;264.5;260.625
destruc;390.35654067993164;331.9139778614044;373.47733974456787;330.64356446266174;361.75;287.5
diviter;310.9332323074341;276.6241729259491;311.54388189315796;279.62157130241394;296.875;277.0
divrec;399.4070291519165;399.6754586696625;408.9559316635132;401.54165029525757;393.0;367.25
earley;322.1486210823059;280.2146077156067;313.74266743659973;283.6568057537079;238.625;166.125
fib;305.856853723526;231.19860887527466;283.12182426452637;222.4447727203369;499.5;188.75
fibfp;238.44051361083984;170.54396867752075;182.4249029159546;119.12104487419128;342.0;144.125
graphs;353.301078081131;295.152485370636;330.08456230163574;274.0480899810791;365.0;271.875
lattice;959.0140879154205;898.7323343753815;823.7399160861969;762.8729343414307;707.875;427.25
mazefun;304.51491475105286;261.2713575363159;312.5001788139343;270.7570195198059;365.625;247.5
mbrot;220.81619501113892;195.38530707359314;212.14136481285095;195.7038938999176;308.25;133.125
nboyer;274.5662033557892;286.33230924606323;281.4352512359619;282.7259600162506;314.625;210.875
nqueens;356.30959272384644;318.1384801864624;360.22916436195374;327.6863992214203;477.125;300.875
paraffins;319.6517527103424;313.53774666786194;316.3484036922455;317.9738223552704;299.875;315.375
perm9;142.19173789024353;123.33160638809204;142.3187553882599;130.9075951576233;120.25;51.125
peval;368.7596321105957;337.4609053134918;389.6619379520416;362.6668453216553;305.125;241.375
pnpoly;363.8254702091217;252.80022621154785;364.30829763412476;247.90185689926147;410.25;63.5
primes;858.660489320755;849.832683801651;877.1836161613464;846.7932641506195;689.0;506.25
sboyer;292.87248849868774;276.4585316181183;298.5319793224335;290.3851568698883;349.0;213.5
simplex;258.0588459968567;201.09716057777405;258.4383189678192;201.65717601776123;348.625;97.5
sum;344.21271085739136;199.57247376441956;308.2093298435211;199.4783878326416;364.625;111.625
sumfp;552.1982610225677;470.69257497787476;553.8005232810974;470.68798542022705;800.75;589.625
sumloop;1763.6674344539642;1630.9007704257965;1764.2010152339935;1631.184607744217;2443.5;970.125
tak;337.09412813186646;246.57344818115234;337.2587263584137;209.10027623176575;362.5;217.25
takl;384.3230605125427;361.6757094860077;383.386492729187;361.0028326511383;308.75;136.625
triangl;602.6561558246613;532.0144593715668;602.1530330181122;536.1460745334625;599.375;312.5
