X;ccm5inter;ccm5eponly;X;crm5inter;crm5rponly
ack;12.416;13.192;ack;2.56;2.176
all;14097.056;12347.79999;all;618.624;481.27999
array1;14.832;14.00799;array1;2.688;2.30399
boyer;28.55999;26.65599;boyer;12.032;8.32
browse;65.424;57.408;browse;12.928;9.34399
compiler;5097.8;4374.488;compiler;398.07999;323.83999
conform;87.808;79.152;conform;23.16799;23.67999
cpstak;19.48799;19.48799;cpstak;2.30399;1.91999
dderiv;15.40799;16.26399;dderiv;3.712;3.712
deriv;10.976;11.75999;deriv;2.688;2.688
destruc;20.928;22.19999;destruc;3.712;3.45599
diviter;14.4;15.19999;diviter;2.176;2.176
divrec;13.464;14.256;divrec;2.30399;2.30399
earley;155.8;161.68;earley;17.408;10.752
fib;11.64;11.64;fib;2.688;2.43199
fibfp;10.864;10.864;fibfp;2.81599;2.30399
graphs;101.376;89.95999;graphs;13.31199;8.192
lattice;52.56;46.71999;lattice;10.752;8.192
mazefun;59.97599;53.728;mazefun;16.768;16.256
mbrot;17.30399;17.30399;mbrot;2.94399;2.56
nboyer;87.608;76.424;nboyer;18.68799;13.05599
nqueens;30.52799;28.832;nqueens;5.248;2.688
paraffins;72.92799;46.904;paraffins;22.52799;5.63199
perm9;31.23199;27.77599;perm9;5.12;4.73599
peval;76.83199;63.84;peval;31.87199;30.46399
pnpoly;11.08799;11.88;pnpoly;3.83999;3.45599
primes;14.544;13.59999;primes;2.81599;2.81599
sboyer;87.98399;76.75199;sboyer;18.17599;12.416
simplex;38.0;40.0;simplex;5.376;5.376
sum;11.75999;11.75999;sum;2.30399;1.91999
sumfp;11.75999;11.75999;sumfp;2.30399;1.91999
sumloop;12.0;12.0;sumloop;2.30399;1.91999
tak;12.416;13.96799;tak;3.072;2.688
takl;17.42399;16.632;takl;5.376;3.584
triangl;17.6;17.6;triangl;4.096;3.712
